Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,97.2753220878,21.8035813059,15.2541877231,0.380783204346,4.12243109448,15.9888894789,95.0221650629,92.030434645,2.97173041782,0.02
 01/02  02:00:00,86.6215061109,17.9390481456,12.7877807033,0.345374624347,4.12243109448,15.9888894789,81.8354290529,78.8436986351,2.97173041782,0.02
 01/02  03:00:00,101.132747073,23.0003175387,15.1260791179,1.28958927002,4.12243109448,15.9888894789,102.824387069,99.832656651,2.97173041782,0.02
 01/02  04:00:00,87.5083472273,18.4002540309,11.4027564172,1.61641647197,4.12243109448,15.9888894789,83.9779081165,80.9861776987,2.97173041782,0.02
 01/02  05:00:00,131.388636386,27.7541163415,16.8681292415,2.23656738586,12.3672932834,24.9413748627,118.065960219,113.09307619,4.9528840297,0.02
 01/02  06:00:00,160.908652259,28.5998462677,19.4552172886,27.7481170521,12.3672932834,24.9413748627,184.656325842,179.683441813,4.9528840297,0.02
 01/02  07:00:00,208.203882667,29.1149993192,18.793625064,22.5556474993,24.7345865669,70.7195625826,151.242322741,141.316554682,9.90576805939,0.02
 01/02  08:00:00,218.504186446,29.2543801153,19.5287286372,14.0120240906,37.1018798503,92.3937384068,129.842216559,119.9164485,9.90576805939,0.02
 01/02  09:00:00,221.280752903,29.3777631374,23.164649186,9.10933663258,37.1018798503,104.434947198,120.819850155,110.894082096,9.90576805939,0.02
 01/02  10:00:00,237.469908703,29.5612642621,30.1902830085,6.2340909596,37.1018798503,116.476155989,117.721679853,103.05456322,9.90576805939,4.7613485736
 01/02  11:00:00,248.603718804,29.9438242662,44.2305530873,4.48325276732,37.1018798503,116.476155989,110.434673662,96.6466030829,9.90576805939,3.88230251945
 01/02  12:00:00,261.91647443,30.3775330973,58.4521205088,3.23599232765,37.1018798503,116.476155989,101.590810485,91.6650424259,9.90576805939,0.02
 01/02  13:00:00,261.193364822,30.8126408296,67.2869170519,1.84972385654,37.1018798503,104.434947198,106.040529163,87.5096684178,9.90576805939,8.62509268537
 01/02  14:00:00,275.996716359,31.0945154358,70.9444189183,1.02060677006,37.1018798503,116.476155989,94.7307574579,84.8049893986,9.90576805939,0.02
 01/02  15:00:00,279.204357172,31.3180674372,73.6054400811,0.618378694468,37.1018798503,116.476155989,92.6938304257,82.7680623663,9.90576805939,0.02
 01/02  16:00:00,281.037458752,31.2775871106,73.2243896359,0.414942718919,37.1018798503,116.476155989,100.771369915,82.2393832778,9.90576805939,8.62621857825
 01/02  17:00:00,267.961205512,30.7672344974,64.1298057476,0.478429404102,37.1018798503,116.476155989,96.345138949,86.4193708896,9.90576805939,0.02
 01/02  18:00:00,258.532740149,30.2856928805,50.3973150695,0.779639359293,37.1018798503,116.476155989,101.092121823,91.1663537635,9.90576805939,0.02
 01/02  19:00:00,162.24897378,27.6003810464,29.7143932405,0.0,24.7345865669,47.5788473902,85.6251577502,72.0647886831,4.9528840297,8.60748503737
 01/02  20:00:00,163.798578193,28.4074913457,26.0570093673,0.0,24.7345865669,47.5788473902,83.8997783875,78.9268943578,4.9528840297,0.02
 01/02  21:00:00,139.493676018,26.6779692758,22.1047498122,0.0,12.3672932834,38.6892022431,98.254135614,95.2624051962,2.97173041782,0.02
 01/02  22:00:00,98.5080849751,16.6524698049,12.4507322151,0.0,12.3672932834,27.0668015668,66.2309274693,63.2391970515,2.97173041782,0.02
